name,country,city,cuisine
TimeSpirit,United Kingdom,Aberlour,Modern Cuisine
The Braywood,United Kingdom,Bray,Modern British
Sonnet,United Kingdom,Alnwick,Modern Cuisine
The Plough,United Kingdom,Wombleton,Traditional Cuisine
BALOCI,United Kingdom,Birmingham,Asian and Western
Wildflowers,United Kingdom,London,Mediterranean Cuisine
Margo,United Kingdom,Glasgow City,Mediterranean Cuisine
Great Bustard,United Kingdom,Great Durnford,Modern British
Row on 5,United Kingdom,London,Modern Cuisine
Fallachan Kitchen,United Kingdom,Glasgow City,Modern Cuisine
Briar,United Kingdom,Bruton,Contemporary
Three Darlings,United Kingdom,London,World Cuisine
DA COSTA,United Kingdom,Bruton,Italian
Hem,United Kingdom,Warwick,Modern Cuisine
FIFTY TWO,United Kingdom,Harrogate,Modern Cuisine
Starling,United Kingdom,Esher,Modern British
Lucky Khao,United Kingdom,Brighton and Hove,Thai
Fonda,United Kingdom,London,Mexican
Circa Totnes,United Kingdom,Totnes,Modern British
Amari,United Kingdom,Brighton and Hove,Spanish
Dishes,United Kingdom,Prestatyn,British Contemporary
Satori,United Kingdom,Birmingham,Japanese
The Fanny Talbot,United Kingdom,Barmouth,Modern British
OTHER,United Kingdom,City of Bristol,Sharing
Le Vin Perdu,United Kingdom,Ashburton,French
AngloThai,United Kingdom,London,Thai
The Old Manse of Blair Restaurant,United Kingdom,Blair Athol,Modern Cuisine
The Lamb Inn,United Kingdom,Oxford,English
Jericho,United Kingdom,Plungar,Modern Cuisine
The Old Deanery,United Kingdom,Ripon,Modern British
Horse & Groom,United Kingdom,Bourton on the Hill,Traditional British
North Street Kitchen,United Kingdom,Fowey,Seafood
Capsule,France,Paris,Traditional Cuisine
Adraba,France,Paris,Mediterranean Cuisine
Mirabelle,France,Langres,Modern Cuisine
ANTO,France,Annecy,Modern Cuisine
Le Sarment,France,Auxerre,Modern Cuisine
Jarapea,France,Irouléguy,Modern Cuisine
L'Angle,France,Laguépie,Modern Cuisine
L'Atelier,France,Montaigu,Traditional Cuisine
Turbulent,France,Trouville-sur-Mer,Modern Cuisine
L’Écrin de Marlène,France,Vichy,Modern Cuisine
Table Penja,France,Paris,Modern Cuisine
Dandelion,France,Paris,Modern Cuisine
Erso,France,Paris,Modern Cuisine
Ken Yamamoto,France,Paris,Modern Cuisine
Phébé,France,Paris,Traditional Cuisine
Restaurant F,France,Paris,Modern Cuisine
Hestia,France,Paris,Modern Cuisine
La Table d'Éole,France,Brochon,Modern Cuisine
Bulle d'Osier,France,Langres,Creative
Les Gamins,France,Besançon,Modern Cuisine
L'Altitude,France,Courchevel,Traditional Cuisine
Maison Avoise,France,Issy-les-Moulineaux,Modern Cuisine
Coup de Main,France,Lille,Creative
Vous,France,Megève,Modern Cuisine
Anata,France,Megève,Japanese
Le Tire-Bouchon Rodier,France,Paris,Traditional Cuisine
19 Saint Roch,France,Paris,Creative
Brion,France,Paris,Modern Cuisine
Kedem,France,Bordeaux,Mediterranean Cuisine
Première édition,France,Avignon,Modern Cuisine
Dasuke,Taiwan,Taipei,Japanese
fumée,Taiwan,Taipei,Yakitori
J Parc,Taiwan,Kaohsiung,Creative
Yung Yen,Taiwan,Kaohsiung,Taiwanese
Su Lai Chuan,Taiwan,Taipei,Small eats
Gallina,Greece,Athens,Modern Cuisine
Makris Athens,Greece,Athens,Creative
Jerár,Greece,Athens,International
Merceri,Greece,Athens,Greek
VERi TABLE,Greece,Athens,French
GB Roof Garden,Greece,Athens,Mediterranean Cuisine
Pharaoh,Greece,Athens,Greek
Tudor Hall,Greece,Athens,Contemporary
Botrini's,Greece,Athens,Mediterranean Cuisine
Annie Fine Cooking,Greece,Athens,Modern Cuisine
Linou Soumpasis k sia,Greece,Athens,Greek
Cerdo Negro 1985,Greece,Athens,Mediterranean Cuisine
Akra,Greece,Athens,Greek
Delta,Greece,Athens,Creative
Ovio,Greece,Athens,Italian Contemporary
Fine Mess Smokehouse,Greece,Athens,Barbecue
Simul,Greece,Athens,Creative
Patio,Greece,Athens,Modern Cuisine
